Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Category,Total_Amount_of_Payment_USDollars,General,Research
MUREEMA,M,SOLBERG,"300 N 4TH AVE E","SUITE 200",NEWTON,50208-3155,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",864235,GNRL,1915.03,152,0
LEE,O,FAGRE,"217 20TH ST NW","",WAVERLY,50677-2017,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",181055,GNRL,1914.57,155,0
PAUL,D,PETERSON,"2600 OUTER DR N","","SIOUX CITY",51104-1585,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",331719,GNRL,1914.17,161,0
DANA,"",WEIBEL,"507 E COLLEGE ST","","IOWA CITY",52240-5115,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",350555,GNRL,1909.38,174,0
VIKRANT,"",SALARIA,"800 MERCY DR","SUITE 120","COUNCIL BLUFFS",51503-3128,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",273834,GNRL,1903.65,135,0
AMIT,"",GUPTA,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",252241,GNRL,1902.83,12,0
RAJA,M,AKBAR,"146 W DALE ST","STE 101",WATERLOO,50703,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",275130,GNRL,1901.23,164,0
TYRUS,"",SOARES,"715 HARMONY ST","STE 201","COUNCIL BLUFFS",51503,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",6533,GNRL,1898.29,42,0
MICHAEL,J,NIEHAUS,"1223 S GEAR AVE","STE 202","WEST BURLINGTON",52655-1685,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",226003,GNRL,1891.78,38,0
DWAYNE,T,CAPPER,"2615 NORTHGATE DR","","IOWA CITY",52245-9565,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery",174391,GNRL,1890.35,32,0
PAUL,V,BABIKIAN,"1111 6TH AVE","EAST TOWER SUITE A100","DES MOINES",50314-2610,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",359193,GNRL,1888.54,103,0
LECK,"",READ,"819 S HIGHLAND ST","",WILLIAMSBURG,52361-9333,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",286625,GNRL,1885.79,131,0
MICHAEL,C,PRESCHER,"933 E PIERCE ST","","COUNCIL BLUFFS",51503,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology",447407,GNRL,1881.76,24,0
CONNIE,J,ARISPE,"1410 6TH AVE S","","CLEAR LAKE",50428-2606,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",64883,GNRL,1880.82,165,0
ELIZABETH,JO,TIGGES,"1005 PENNSYLVANIA AVE STE 204","",OTTUMWA,52501,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",782392,GNRL,1876.01,24,0
RAMZI,"","EL ACCAOUI","200 HAWKINS DR","# E314-2","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",371819,GNRL,1871.72,9,0
TRAVIS,N,TIDWELL,"44 BROOKERIDGE DR","",WATERLOO,50701-5214,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",706805,GNRL,1870.24,23,0
TRACY,LEE,KAHL,"1614 DIAMOND STREET PL","",ONAWA,51040-1554,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",230874,GNRL,1867.0,145,0
JEFFREY,J,JUHL,"118 W WHEELER ST","","WEST BURLINGTON",52655,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Anesthesiology",766025,GNRL,1862.85,23,0
AMANDA,MAE,BRENDEN,"2717 ORCHARD DR","","CEDAR FALLS",50613,"Doctor of Dentistry","Dental Providers|Dentist",179170,GNRL,1849.11,2,0
PAUL,"",HOTTEL,"1060 WILLIAM STREET","","IOWA CITY",52240-6625,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",592002,GNRL,1848.97,7,0
EYTAN,"",YOUNG,"105 VALLEY WEST DR",SUITE100,"WEST DES MOINES",50265-3902,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",109919,GNRL,1848.89,35,0
KENDALL,L,DAMMEIER,"501 SANFORD ST","",DECORAH,52101-2005,"Doctor of Dentistry","Dental Providers|Dentist",121141,GNRL,1845.0,2,0
JAY,A,JOHNSON,"2103 INGERSOLL AVE","","DES MOINES",50312-5262,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",112709,GNRL,1842.43,138,0
JAMIE,O,ARMBRUSTER,"3135 W BROADWAY","SUITE 100","COUNCIL BLUFFS",51501-3359,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",468624,GNRL,1841.69,128,0
JORDAN,MICHAEL,MOFFITT,"422 W BROADWAY ST","","EAGLE GROVE",50533,"Doctor of Dentistry","Dental Providers|Dentist",1338146,GNRL,1841.34,16,0
NANCY,A,BOELTER,"3701 KATZ DR","",MARION,52302-3871,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",523205,GNRL,1836.44,144,0
RICHARD,"",BOSE,"1316 S MAIN ST","",CLARION,50525,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",212943,GNRL,1833.29,65,0
BART,P,JENSON,"588 University","","Des Moines",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",243088,GNRL,1826.92,16,0
KARY,R,SCHULTE,"6001 WESTOWN PARKWAY","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",66709,GNRL,1824.51,24,0
WEI,FAN,CHEN,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery",514370,GNRL,1822.91,4,0
KAMRAN,"",KARIMI,"2710 SAINT FRANCIS DR STE 510","",WATERLOO,50702,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",55443,GNRL,1812.24,25,0
MARK,L,WOODARD,"1223 S GEAR AVE","","WEST BURLINGTON",52655-1682,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",4984,GNRL,1810.31,120,0
DOUGLAS,B,HORNICK,"200 HAWKINS DR",C33C,"IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",19268,GNRL,1809.6,7,0
SANTIAGO,NULL,"ORTEGA GUTIERREZ","200 HAWKINS DR DEPARTMENT OF NEUROLOGY","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",1064348,GNRL,1808.52,19,0
GEORGE,BEHNAM,ISAAC,"2140 JOHN F KENNEDY RD","SUITE B",DUBUQUE,52002-3883,"Medical Doctor","Other Service Providers/ Specialist",207991,GNRL,1803.12,149,0
KEVIN,R,RIER,"250 S CRESCENT DR","","MASON CITY",50401-2926,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",135401,GNRL,1799.27,131,0
AMMIE,M,CHIZEK,"1875 MIDDLE RD","",BETTENDORF,52722-3203,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",126707,GNRL,1798.14,32,0
ROBERT,S,PRANGER,"220 SOUTHBROOKE DR","",WATERLOO,50702-5802,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",135167,GNRL,1794.63,153,0
THOMAS,CHRISTOPHER,QUICK,"3700 WESTOWN PKWY","","WEST DES MOINES",50266,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",1033632,GNRL,1792.33,13,0
JOSEPH,A,KURTH,"4230 HAMILTON BLVD","","SIOUX CITY",51104-1137,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",186197,GNRL,1790.55,181,0
ABHAY,"",DIVEKAR,"200 Hawkins Dr",2801,"Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology",568369,GNRL,1788.03,11,0
CATHERINE,"",YEE,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Student, Health Care/ Student in an Organized Health Care Education/Training Program",1384198,GNRL,1787.52,7,0
LYNN,B,GEICK,"3740 UTICA RIDGE RD","STE B",BETTENDORF,52722-1624,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",104757,GNRL,1785.16,171,0
GARY,RAE,HATTAN,"1021 NEBRASKA ST","","SIOUX CITY",51104,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",345388,GNRL,1783.2,50,0
LEIGHTON,E,FROST,"300 N 4TH AVE E","SUITE 200",NEWTON,50208-3155,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",138756,GNRL,1771.51,169,0
DONALD,E,MACFARLANE,"200 HAWKINS DR","STE 5970JPP","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",318547,GNRL,1771.39,4,0
LANCE,"",BEZZINA,"1000 LANGWORTHY ST","",DUBUQUE,52001,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",514541,GNRL,1770.96,19,0
THOMAS,A,MALLISEE,"1111 6TH AVE","","DES MOINES",50314-2613,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Body Imaging",637492,GNRL,1770.66,25,0
OSAMAH,TAHA,ALDOSS,"200 HAWKINS DR","DEPT OF PEDIATRICS","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology",1191580,GNRL,1770.57,13,0
ROBERT,"",SCHMALL,"1948 1ST AVE NE","","CEDAR RAPIDS",52402,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",1070621,GNRL,1769.12,14,0
CARLA,"",KUCIREK,"1204 W SHERIDAN AVE STE A","",SHENANDOAH,51601,"Doctor of Dentistry","Dental Providers|Dentist",497750,GNRL,1765.9,11,0
EMILY,ANNE,WAGSTROM,"200 HAWKINS DR","DEPARTMENT OF ORTHOPAEDIC SURGERY","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",1145239,RSRCH,1760.37,12,4
PATRICK,A,LENANE,"1428 2ND AVE N","MEDICAL ARTS BLDG","FORT DODGE",50501-4119,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",299561,GNRL,1759.0,33,0
MICHAEL,AARON,PIPLANI,"1021 NEBRASKA ST","","SIOUX CITY",51105-1436,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",23449,GNRL,1757.05,43,0
SOBIA,"",KHAJA,"200 HAWKINS DR","UIHC- DEPARTMENT OF OTOLARYNGOLOGY","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",1196286,GNRL,1756.11,11,0
NISREEN,"",JALLAD,"1005 PENNSYLVANIA AVE","",OTTUMWA,52501-6413,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",72613,GNRL,1754.99,38,0
MATTHEW,J,KNUDSON,"1223 S GEAR AVE","EASTMAN PLAZA SUITE 303","WEST BURLINGTON",52655-1682,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",135076,GNRL,1752.65,160,0
MICHAEL,K,ABOUASSALY,"1201 W AGENCY RD","","WEST BURLINGTON",52655-1645,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",145204,GNRL,1752.53,151,0
JOHN,IRELAND,HALLORAN,"1825 LOGAN AVE","",WATERLOO,50703-1916,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology",1069934,GNRL,1751.51,8,0
DAVID,BRIAN,MOORE,"1015 DUFF AVE","",AMES,50010,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",162990,GNRL,1750.59,36,0
KELLY,MATTHEW,GALLEGO,"2800 PIERCE ST","","SIOUX CITY",51104,"Medical Doctor","Allopathic & Osteopathic Physicians|Plastic Surgery",337334,GNRL,1746.03,11,0
JAMES,"",LOVELL,"5950 UNIVERSITY AVE","STE 235","WEST DES MOINES",50266,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",198579,GNRL,1744.47,102,0
CHRIS,R,HAGANMAN,"815 38TH ST SE","","CEDAR RAPIDS",52403,"Doctor of Dentistry","Dental Providers|Dentist|Prosthodontics",477783,GNRL,1743.6,5,0
DAVID,L,WANNER,"1005 PENNSYLVANIA AVE","STE 202",OTTUMWA,52501-6413,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",206080,GNRL,1741.79,36,0
WILLIAM,JOSEPH,FISCHER,"200 HAWKINS DR","SE 500 GH","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",362575,GNRL,1741.53,25,0
STEPHEN,"T H",GUTU,"1215 PLEASANT ST","SUITE 116","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics",114043,GNRL,1740.13,8,0
ELIZABETH,K,GROETKEN,"16 CENTRAL AVE NE","","LE MARS",51031-3515,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",306424,GNRL,1737.47,7,0
RANDY,C,ASMAN,"926 N 8TH ST","",ESTHERVILLE,51334-1300,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",334623,GNRL,1733.02,118,0
JASON,"",SHEFFLER,"1115 S MARSHALL ST","",BOONE,50036-5304,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",28778,GNRL,1732.49,127,0
WOOK,J,KIM,"1301 PENN AVE","SUITE 408","DES MOINES",50316-2350,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",50088,GNRL,1731.8,138,0
MICHAEL,"",GIMBEL,"1236 E RUSHOLME ST","STE 300",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",176072,GNRL,1730.0,16,0
KEITH,L,PROBST,"926 N 8TH ST","",ESTHERVILLE,51334-1300,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",286540,GNRL,1729.48,128,0
JENNIFER,R,BOOTH,"4949 WESTOWN PARKWAY","SUITE 140","WEST DES MOINES",50266-6716,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",194418,GNRL,1727.86,42,0
MOUHAMED,W,"AL SHEIKHA","1228 E RUSHOLME ST","SUITE 310",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology",138367,GNRL,1727.66,135,0
HUY,D,TRINH,"1 EDMUNDSON PL","STE 500","COUNCIL BLUFFS",51503-4619,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",348325,GNRL,1727.09,27,0
BENJAMIN,"",MACLENNAN,"2751 Northgate Dr","","Iowa City",52245,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",262147,GNRL,1726.54,31,0
MARC,"",KLEIN,"411 Laurel ST","Ste 1250","Des Moines",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",37988,GNRL,1714.57,10,0
SIV,BRIT,SAETRE,"1230 E RUSHOLME ST","",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",91755,GNRL,1713.52,97,0
RYAN,PATRICK,LEMPP,"1601 AVE D","","COUNCIL BLUFFS",51501-2559,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",1262677,GNRL,1712.89,35,0
JOHN,"",HOFFMAN,"3385 DEXTER CT","SUITE 300",DAVENPORT,52807-3471,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",347275,GNRL,1710.37,18,0
KRISTI,D,WALZ,"1021 NEBRASKA ST","","SIOUX CITY",51105-1436,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",652056,GNRL,1709.0,33,0
TIMOTHY,C,SIMPLOT,"105 VALLEY WEST DR","","WEST DES MOINES",50265-3902,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",102872,GNRL,1704.45,61,0
STEVEN,A,FREEMAN,"220 ESSIE DAVISON DR","",CLARINDA,51632-2915,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",203241,GNRL,1703.44,140,0
JOHN,"",PARGULSKI,"1660 60th St","","West Des Moines",50266,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",345540,GNRL,1702.49,128,0
ROD,"",PASSMAN,"5950 University Ave",205,"West Des Moines",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",561761,GNRL,1700.0,1,0
PETER,ANDREW,HOLOCH,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",1017184,GNRL,1693.77,12,0
MARK,W,MULKEY,"250 S CRESCENT DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians|Plastic Surgery",122962,GNRL,1692.77,23,0
VIPUL,"",KHETARPAUL,"1215 PLEASANT ST","STE 618","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",270958,GNRL,1684.93,13,0
TAMMY,"",DANN,"1828 Algonquin RD","","Iowa City",52245,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine",88120,GNRL,1683.55,21,0
JOHN,G,GANSKE,"6000 UNIV AVE","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Plastic Surgery",150748,GNRL,1683.46,3,0
LEONARD,SCOTT,RICHARDS,"1301 PENN AVE","SUITE 408","DES MOINES",50316-2350,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",435799,GNRL,1682.0,160,0
LAURA,ELIZABETH,FAUCHIER,"955 31ST ST","",MARION,52302,"Doctor of Dentistry","Dental Providers|Dentist",111424,GNRL,1681.19,5,0
PREETI,MARY,JOSEPH,"1000 LANGWORTHY ST","",DUBUQUE,52001,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",170033,GNRL,1679.12,12,0
FOAD,"",ELAHI,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine",823137,GNRL,1676.44,24,0
BARBARA,A,SCHEETZ,"5970 ASHWORTH RD","","WEST DES MOINES",50266-7110,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",292661,GNRL,1675.79,42,0
EMILE,C,LI,"2700 1ST AVE S","SUITE 100","FORT DODGE",50501-4300,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine",1111249,GNRL,1674.62,24,0
DOUGLAS,V,STANGL,"926 N 8TH ST","",ESTHERVILLE,51334-1300,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",37332,GNRL,1673.51,118,0
TIMOTHY,L,MULHOLLAND,"250 S CRESCENT DR","","MASON CITY",50401-2926,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",157519,GNRL,1669.39,125,0
MICHAEL,W,MOFFITT,"422 W BROADWAY ST","","EAGLE GROVE",50533,"Doctor of Dentistry","Dental Providers|Dentist|Prosthodontics",654443,GNRL,1665.22,16,0
DANIEL,J,LAROSE,"1 EDMUNDSON PLACE","SUITE 500","COUNCIL BLUFFS",51503-4619,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",412493,GNRL,1664.67,11,0
RANDALL,H,HAMILTON,"1111 6TH AVE","EAST TOWER SUITE A100","DES MOINES",50314-2610,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",296041,GNRL,1661.68,24,0
JOSEPH,"",COOKMAN,"800 Kenyon Road","","Fort Dodge",50501,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",197614,GNRL,1659.1,88,0
RAVI,P,VEMULAPALLI,"1378 NW 124TH ST","SUITE 200",CLIVE,50325-8151,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",316810,GNRL,1656.42,139,0
CYNTHIA,K,WOLFF,"321 MILL STREET","",AKRON,51001,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",198741,GNRL,1656.07,115,0
MICHAEL,"",IRISH,"1212 PLEASANT ST","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery",917900,GNRL,1654.64,13,0
MARK,D,HARTMAN,"804 KENYON RD","","FORT DODGE",50501,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",217464,GNRL,1650.09,24,0
MICHAEL,E,POOLE,"2000 SOUTH MAIN STREET","STE C",FAIRFIELD,52556-3739,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",36875,GNRL,1648.97,146,0
JIMMY,R,MASCARO,"312 E ALTA VISTA AVE","",OTTUMWA,52501-1413,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",141603,GNRL,1647.1,109,0
JAMES,H,BURDEN,"200 HAWKINS DR","","IOWA CITY",52242-1007,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",606317,GNRL,1645.48,17,0
JULIE,A,GRUNDBERG,"6001 WESTOWN PARKWAY","","WEST DES MOINES",50266-7702,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",336158,GNRL,1644.27,34,0
FRANK,"",HAWKINS,"3630 W 4TH ST","",WATERLOO,50701-4504,"Medical Doctor","Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine",136255,GNRL,1639.4,12,0
ALAN,"",SWETT,"5965 MERLE HAY RD STE A","",JOHNSTON,50131,"Doctor of Dentistry","Dental Providers|Dentist",1111010,GNRL,1639.06,20,0
SIDDHARTH,"",BAJPAI,"200 HAWKINS DR","","IOWA CITY",52242-1007,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",622266,GNRL,1637.26,99,0
GREGORY,A,HICKLIN,"1410 SW TRADITION DR","",ANKENY,50023,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine",205944,GNRL,1634.24,10,0
TERRY,L.,FALK,"1111 6TH AVE","","DES MOINES",50314-2613,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Body Imaging",942722,GNRL,1629.91,19,0
WILLIAM,"",REMINGTON,"701 E BROADWAY ST","",DECORAH,52101,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",839310,GNRL,1625.85,12,0
JACOB,A,WOLDT,"4405 HAMILTON BLVD","","SIOUX CITY",51104-1140,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",714914,GNRL,1625.61,6,0
PETER,SHAO-YOU,SU,"UNIVERSITY OF IOWA HOSPITALS AND CLINICS","PAIN MANAGEMENT CLINIC 41500 PFP","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",1366843,GNRL,1624.32,11,0
Clinton,S,Timmerman,"11088 HICKMAN RD","",Clive,50325,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",1120658,GNRL,1623.51,3,0
RAJALAKSHMI,VISHWANATHAN,IYER,"1378 NW 124TH ST","",CLIVE,50325-8151,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",348828,GNRL,1621.86,157,0
LINDA,M,ILER,"515 N MAIN ST","",CARROLL,51401-2739,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",188249,GNRL,1617.51,124,0
PRASAD,"",LAKSHMINARASIMHIAH,"801 5TH ST","","SIOUX CITY",51101-1326,"Medical Doctor","Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation",516078,GNRL,1617.31,28,0
Rolando,"",Sanchez,"200 Hawkins Dr","Department of Internal Medicine","Iowa City",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",1353291,GNRL,1616.75,6,0
ANDREW,W,GAUT,"933 E Pierce St","","Council Bluffs",51503,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",1196142,GNRL,1612.21,29,0
JOHN,"",KORTENBER,"112 N THORINGTON ST","",ALGONA,50511-2614,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",127672,GNRL,1611.53,17,0
JEFFREY,D,WILHARM,"3100 E AVE NW","SUITE 101","CEDAR RAPIDS",52405-2962,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",89348,GNRL,1606.58,150,0
NITIN,"",SHIRODKAR,"3600 30TH ST","","Des Moines",50310,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",1237434,GNRL,1596.26,6,0
ROBERT,K,FRYZEK,"14 N WALNUT ST","",GLENWOOD,51534-1739,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",1101260,GNRL,1595.22,104,0
CAROL,L,HORNER,"1350 DES MOINES ST","SUITE 100","DES MOINES",50309-5502,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",158860,GNRL,1595.09,90,0
MAXIM,Y,GLUHOVSKY,"1215 Pleasant Street, Suite 618","","Des Moines",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",610855,GNRL,1594.98,6,0
JAY,"",BHAMA,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",352974,GNRL,1592.81,9,0
KENTON,CHARLES,GLEICHMAN,"3700 WESTOWN PKWY","","WEST DES MOINES",50266,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",623048,GNRL,1591.52,8,0
BRIAN,DANIELS,GERRELTS,"1753 W RIDGEWAY AVE STE 107","",WATERLOO,50701,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",875559,GNRL,1590.6,27,0
RICHARD,"",NAYLOR,"2710 SAINT FRANCIS DR","SUITE 319",WATERLOO,50702-5619,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",215603,GNRL,1589.75,49,0
JOSE,"",GALLASTEGUI,"1601 Nw 114th ST","Ste 330",Clive,50325,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology",245633,GNRL,1589.5,17,0
JOHN,WILLIAM,MEYER,"1701 22ND ST STE 101","","WEST DES MOINES",50266,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",709809,GNRL,1589.27,10,0
MARK,G,HOLMES,"6200 WESTOWN PKWY","","WEST DES MOINES",50266,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",285823,GNRL,1588.21,12,0
