Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
Emergency Response Commission,Bob George,West Des Moines,POLK,Industry SC - voting,2015-05-01,2018-04-30,Male,Rep,A
Emergency Response Commission,Julie Waltz,Winterset,MADISON,Industry SC - non-voting,2015-05-01,2018-04-30,Female,Rep,A
Emergency Response Commission,Ron Burchette,Eldridge,SCOTT,Hazardous Materials Task Force - non-voting,2015-05-01,2018-04-30,Male,None,A
Emergency Response Commission,Brenda Leonard,Wyoming,JONES,LEPC - voting,2015-05-01,2018-04-30,Female,None,A
Emergency Response Commission,Robin Pruisner,Mc Callsburg,STORY,IDALS - non-voting,2015-05-01,2018-04-30,Female,Rep,A
Emergency Response Commission,Yuxiang (Angela) Chen,Windsor Heights,POLK,Homeland Security & Emergency Management -voting,2015-05-01,2018-04-30,Female,None,A
Emergency Response Commission,Jeffrey Quigle,West Des Moines,POLK,Public Safety - voting,2016-08-10,2019-04-30,Male,None,A
Emergency Response Commission,Meghan Gavin,Des Moines,POLK,Dept of Justice - non-voting,2016-08-10,2019-04-30,Female,Dem,A
Emergency Response Commission,Dean House,MADRID,BOONE,DOT - voting,2016-08-10,2019-04-30,Male,Rep,A
Emergency Response Commission,Kenneth Sharp,Des Moines,POLK,IDPH - non-voting,2016-08-10,2019-04-30,Male,None,A
Emergency Response Commission,Joseph Mullen,Johnston,POLK,IWD - voting,2016-08-10,2019-04-30,Male,None,A
Emergency Response Commission,Todd Jacobus,Des Moines,POLK,Public Defense - voting,2016-10-17,2019-04-30,Male,None,A
Employment Appeal Board,Ashley Koopmans,Des Moines,POLK,Public Member,2014-12-19,2018-04-30,Female,Rep,A
Employment Appeal Board,Kim Schmett,Clive,POLK,Employer Representative,2014-05-01,2020-04-30,Male,Rep,A
Employment Appeal Board,James Strohman,Ames,STORY,Employee Representative,2016-05-01,2022-04-30,Male,Dem,A
Engineering and Land Surveying Examining Board,Rita Perea,Des Moines,POLK,Public Member,2014-05-01,2017-04-30,Female,Rep,A
Engineering and Land Surveying Examining Board,Marlon Vogt,MARION,LINN,Registered Engineer,2014-05-01,2017-04-30,Male,Rep,A
Engineering and Land Surveying Examining Board,Jerry Shellberg,RED OAK,MONTGOMERY,Licensed Land Surveyor,2014-05-01,2017-04-30,Male,Rep,A
Engineering and Land Surveying Examining Board,Lisa VanDenBerg,Johnston,POLK,Registered Engineer,2015-05-01,2018-04-30,Female,None,A
Engineering and Land Surveying Examining Board,Laura Sievers,Rock Rapids,LYON,Registered Engineer,2015-05-01,2018-04-30,Female,None,A
Engineering and Land Surveying Examining Board,Robert Fairfax,Norwalk,WARREN,Public Member,2016-05-01,2019-04-30,Male,Rep,A
Engineering and Land Surveying Examining Board,Eric Green,Creston,UNION,Licensed Land Surveyor,2016-05-01,2019-04-30,Male,None,A
Enhance Iowa Board,STEFANIE KOHN,CEDAR RAPIDS,LINN,Prof. experience cultural attraction programming,2016-08-29,2017-04-30,Female,Rep,A
Enhance Iowa Board,Lisa Hein,Ames,STORY,Iowa Natural Heritage Foundation designee,2016-08-29,2017-04-30,Female,Dem,A
Enhance Iowa Board,Kate McGann,Malvern,MILLS,Prof. experinece in finance/investment banking,2016-08-29,2017-04-30,Female,Rep,A
Enhance Iowa Board,Derek Lumsden,Osceola,CLARKE,Prof. experience tourism industry,2016-08-29,2017-04-30,Male,None,A
Enhance Iowa Board,Michael Broshar,Buckingham,TAMA,"Prof. experience architecture, landscape, historical preservation",2016-08-29,2017-04-30,Male,Dem,A
Enhance Iowa Board,Charese Yanney,Sioux City,WOODBURY,"Private, For-profit, EcoDevo",2016-08-29,2018-04-30,Female,Rep,A
Enhance Iowa Board,Emily Schirmer,Indianola,WARREN,"Private, For-profit, EcoDevo",2016-08-29,2018-04-30,Female,Dem,A
Enhance Iowa Board,Mark Kapfer,Bettendorf,SCOTT,"Private, For-profit, EcoDevo",2016-08-29,2018-04-30,Male,Rep,A
Enhance Iowa Board,Jacob Anderson,Van Meter,IOWA,"Private, For-profit, EcoDevo",2016-08-29,2018-04-30,Male,None,A
Enhance Iowa Board,Eric Bookmeyer,Mason City,CERRO GORDO,"Private, For-profit, EcoDevo",2016-08-29,2018-04-30,Male,None,A
Enhance Iowa Board,Tammy Robinson,NEW HAMPTON,CHICKASAW,"Private, For-profit, EcoDevo",2016-08-29,2018-04-30,Female,Dem,A
Environmental Protection Commission,LaQuanda Hoskins,LeClaire,SCOTT,Manufacturing,2014-01-24,2017-04-30,Female,Dem,A
Environmental Protection Commission,Eugene Ver Steeg,INWOOD,LYON,Farmer,2013-05-01,2017-04-30,Male,Rep,A
Environmental Protection Commission,Cindy Greiman,GARNER,HANCOCK,Commerce Finance,2013-05-01,2017-04-30,Female,Rep,A
Environmental Protection Commission,Robert Sinclair,Williamsburg,IOWA,Elector of State,2013-05-01,2017-04-30,Male,Rep,A
Environmental Protection Commission,Chad Ingels,Randalia,FAYETTE,Elector of State,2013-07-01,2017-04-30,Male,None,A
Environmental Protection Commission,Joe Riding,Altoona,POLK,Elector of State,2015-05-01,2019-04-30,Male,Dem,A
Environmental Protection Commission,Ralph Lents,Menlo,ADAIR,Farmer,2015-05-01,2019-04-30,Male,Rep,A
Environmental Protection Commission,Nancy Couser,NEVADA,STORY,Farmer,2015-05-01,2019-04-30,Female,Dem,A
Environmental Protection Commission,Mary Boote,DES MOINES,POLK,Elector of State,2015-05-01,2019-04-30,Female,Rep,A
Ethics and Campaign Disclosure Board,Vacant,,,,2009-05-01,2015-04-30,Female,Dem,V
Ethics and Campaign Disclosure Board,Jonathan Roos,POLK CITY,POLK,,2011-05-01,2017-04-30,Male,None,A
Ethics and Campaign Disclosure Board,Mary Rueter,DE WITT,CLINTON,,2011-05-01,2017-04-30,Female,Rep,A
Ethics and Campaign Disclosure Board,James Albert,Urbandale,POLK,,2015-05-01,2021-04-30,Male,Rep,A
Ethics and Campaign Disclosure Board,John Walsh,Dubuque,DUBUQUE,,2016-05-01,2022-04-30,Male,Dem,A
Ethics and Campaign Disclosure Board,Carole Tillotson,Windsor Heights,POLK,,2016-05-01,2022-04-30,Female,Rep,A
Farm to School Council,Debra Stephenson,Council Bluffs,MILLS,IAHPERD,2007-11-05,,Female,Dem,A
Farm to School Council,Kathy Simmerman,OSCEOLA,CLARKE,IA School Nutrician Assocation,2012-01-09,,Female,None,A
Farm to School Council,Scott Wilber,BOONE,BOONE,Fruit & Vegetable Producer,2012-01-09,,Male,None,A
Farm to School Council,Earl Hafner,Panora,GUTHRIE,Organic Meat Producer,2007-11-05,,Male,None,A
"Finance Authority Board of Directors, Iowa",Ruth Randleman,CARLISLE,WARREN,Citizen Member,2011-05-01,2017-04-30,Female,Rep,A
"Finance Authority Board of Directors, Iowa",Eric Peterson,RADCLIFFE,HARDIN,Citizen Member,2011-05-01,2017-04-30,Male,Rep,A
"Finance Authority Board of Directors, Iowa",David Greenspon,CLIVE,POLK,Citizen Member,2011-05-01,2017-04-30,Male,Rep,A
"Finance Authority Board of Directors, Iowa",Michel Nelson,CARROLL,CARROLL,Citizen Member,2011-05-01,2017-04-30,Male,Rep,A
"Finance Authority Board of Directors, Iowa",Jeffrey Heil,HAVERHILL,MARSHALL,Citizen Member,2013-05-01,2019-04-30,Male,Rep,A
"Finance Authority Board of Directors, Iowa",Shaner Magalhaes,Coralville,JOHNSON,Citizen Member,2013-05-01,2019-04-30,Male,Dem,A
"Finance Authority Board of Directors, Iowa",Joan Johnson,West Des Moines,POLK,Citizen Member,2013-05-01,2019-04-30,Female,Dem,A
"Finance Authority Board of Directors, Iowa",Darlys Baum,Burlington,DES MOINES,Citizen Member,2015-05-01,2021-04-30,Female,None,A
"Finance Authority Board of Directors, Iowa",Martha Bell,Atlantic,CASS,Citizen Member,2015-05-01,2021-04-30,Female,Dem,A
Fire Service and Emergency Response Council,Vacant,,,IA Fire Chiefs Association Nominee,2008-07-21,2012-06-30,Male,Rep,V
Fire Service and Emergency Response Council,Ellen Hagen,Jewell,HAMILTON,IA Fire Chiefs Association Nominee,2013-07-01,2017-06-30,Female,Dem,A
Fire Service and Emergency Response Council,Gabe Haugland,Clear Lake,CERRO GORDO,Public Member,2013-07-01,2017-06-30,Male,Rep,A
Fire Service and Emergency Response Council,Wayne Sawtelle,Marshalltown,MARSHALL,IA Association of Professional Fire Fighters Nominee,2013-07-01,2017-06-30,Male,Dem,A
Fire Service and Emergency Response Council,Marion Valero-Lehman,ADEL,DALLAS,IA Firemen's Association Nominee,2014-07-01,2018-06-30,Female,Dem,A
Fire Service and Emergency Response Council,Lynn Washburn-Livingston,Davenport,SCOTT,IA Association of Professional Fire Chiefs Nominee,2014-07-01,2018-06-30,Female,Rep,A
Fire Service and Emergency Response Council,Jeff Kling,Bettendorf,SCOTT,Public Member,2015-07-01,2019-06-30,Male,Rep,A
Fire Service and Emergency Response Council,Justin Adams,Boone,BOONE,IA Association of Professional Fire Chiefs Nominee,2015-07-01,2019-06-30,Male,None,A
Fire Service and Emergency Response Council,Thomas Craighton,Hampton,FRANKLIN,Emergency Medical Services,2016-07-01,2020-06-30,Male,Rep,A
Fire Service and Emergency Response Council,Alicia Lidtke,Elberon,TAMA,IA Firemen's Association Nominee,2016-07-01,2020-06-30,Female,Dem,A
Fire Service and Emergency Response Council,Mike Bryant,AMES,STORY,IA Association of Professional Fire Fighters Nominee,2016-07-01,2020-06-30,Male,Dem,A
Flood Mitigation Board,Ronald Herrig,Dubuque,DUBUQUE,Natural Disaster Recovery,2014-05-01,2017-04-30,Male,Rep,A
Flood Mitigation Board,Amy Kaleita,Ames,STORY,Flood Mitigation,2014-05-01,2017-04-30,Female,Rep,A
Flood Mitigation Board,Lorraine Glover,Waterloo,BLACK HAWK,Natural Disaster Recovery,2015-05-01,2018-04-30,Female,Dem,A
Flood Mitigation Board,John Torbert,West Des Moines,POLK,Flood Mitigation,2015-05-01,2018-04-30,Male,None,A
Future Ready Iowa Alliance,Steven Leath,AMES,STORY,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Mark Putnam,Pella,MARION,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Mark Hudson,MARION,LINN,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Mark Chelgren,Ottumwa,WAPELLO,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Gary Schmit,Mason City,CERRO GORDO,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Mary Sellers,des moines,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,None,A
Future Ready Iowa Alliance,Erin Rollenhagen,Waukee,IOWA,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,None,A
Future Ready Iowa Alliance,Ben Kenobbie,Laurens,PALO ALTO,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Kiana Johnson,Primghar,OBRIEN,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Kimberly Reynolds,OSCEOLA,CLARKE,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Aimee Hospodarsky,Monticello,IOWA,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,Dr. Robert Donley,West Des Moines,DALLAS,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Jim Wohlpart,Cedar Falls,BLACK HAWK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Ruby Herrera,Des Moines,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,Jerry Deegan,Clive,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Walt Rogers,Cedar Falls,BLACK HAWK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Susan Wood,Palo Alto,OUT OF STATE,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,Lori Schaefer-Weaton,fairfield,JEFFERSON,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Ian Coon,Clive,DALLAS,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Steven Dust,waterloo,BLACK HAWK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Daniel Houston,West Des Moines,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Aiddy Phomvisay,Des Moines,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Jeff Weld,Cedar Falls,BLACK HAWK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Liang Chee Wee,Decorah,WINNESHIEK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Christopher Duree,Grinnell,POWESHIEK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Mary Ann Hanusa,Council Bluffs,POTTAWATTAMIE,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Mary Gaskill,Ottumwa,WAPELLO,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,Kathryn Kunert,Des Moines,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Charles Sukup,Dougherty,FRANKLIN,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Safie Jackson,Des Moines,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,Kristin Dietzel,dubuque,IOWA,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,Mary Andringa,MITCHELLVILLE,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Brent Siegrist,council bluffs,POTTAWATTAMIE,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Paul Schickler,DES MOINES,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Robert Denson,Ankeny,IOWA,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Deborah Durham,DES MOINES,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Herman Quirmbach,Ames,STORY,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,David Mitchell,Des Moines,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Guadalupe Vazquez,Muscatine,MUSCATINE,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Rep,A
Future Ready Iowa Alliance,Andy Roberts,URBANDALE,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Michelle Bahr,Glenwood,MILLS,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,Dem,A
Future Ready Iowa Alliance,James Anderson,Bettendorf,SCOTT,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Quentin Hart,Waterloo,BLACK HAWK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Angela Franklin,West Des Moines,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,None,A
Future Ready Iowa Alliance,MIchael Bearden,Gladbrook,TAMA,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Jerald Riibe,Muscatine,MUSCATINE,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Ryan Wise,Des Moines,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,William Dehaes,West Des Moines,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Daniel Oh,Ames,STORY,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Bruce Harreld,Iowa City,JOHNSON,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Lon Butikofer,Manchester,DELAWARE,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Karen Misjak,Prole,WARREN,Future Ready Iowa Member,2016-10-24,2017-10-31,Female,None,A
Future Ready Iowa Alliance,Gage Kent,Muscatine,MUSCATINE,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Steven Gilbert,Leon,DECATUR,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,None,A
Future Ready Iowa Alliance,Benjamin McLean,Des Moines,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,William Dotzler Jr,Waterloo,BLACK HAWK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Marvin DeJear,Des Moies,POLK,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Dem,A
Future Ready Iowa Alliance,Chris Anderson,Portsmouth,IOWA,Future Ready Iowa Member,2016-10-24,2017-10-31,Male,Rep,A
Future Ready Iowa Alliance,Beth Townsend,Granger,POLK,Future Ready Iowa Member - Executive Board,2016-10-24,2017-10-31,Female,Rep,A
"Grain Indemnity Fund Board, Iowa",Lori Goetzinger,CARROLL,CARROLL,Grain Dealer Rep,2014-05-01,2017-04-30,Female,None,A
"Grain Indemnity Fund Board, Iowa",Debra Keller,Clarion,WRIGHT,Grain Seller Rep,2014-05-01,2017-04-30,Female,Dem,A
"Grain Indemnity Fund Board, Iowa",Monica Bieri,Letts,LOUISA,Grain Dealer Rep,2016-05-01,2019-04-30,Female,Rep,A
"Grain Indemnity Fund Board, Iowa",Curtis Sindergard,Rolfe,POCAHONTAS,Grain Seller Rep,2016-05-01,2019-04-30,Male,Rep,A
"Grain Indemnity Fund Board, Iowa",Vacant,,,Banking Rep.,,,,,V
"Great Places Advisory Board, Iowa",Vacant,,,Development Tourism,2010-05-01,2013-04-30,Female,Rep,V
"Great Places Advisory Board, Iowa",Vacant,,,Community Cultural Leader,2011-05-01,2014-04-30,Male,None,V
"Great Places Advisory Board, Iowa",Jared McGovern ,Peosta,DUBUQUE,Youth Cultural Leader,2014-05-01,2017-04-30,Male,None,A
"Great Places Advisory Board, Iowa",Nick Glew,MARION,LINN,Local Government Official,2014-05-01,2017-04-30,Male,Rep,A
"Great Places Advisory Board, Iowa",Ruth Haus,Urbandale,POLK,Parks,2014-05-01,2017-04-30,Female,Rep,A
"Great Places Advisory Board, Iowa",Trevor Toft,Schaller,SAC,Business,2015-05-01,2018-04-30,Male,None,A
"Great Places Advisory Board, Iowa",Kerrie Kuiper,Lehigh,WEBSTER,Tourism,2015-05-01,2018-04-30,Female,None,A
"Great Places Advisory Board, Iowa",Gayle Redman,GOWRIE,WEBSTER,Local Government,2015-05-01,2018-04-30,Female,Rep,A
"Great Places Advisory Board, Iowa",Donald Zuck,ANKENY,POLK,Community Leader,2015-05-01,2018-04-30,Male,Dem,A
"Great Places Advisory Board, Iowa",Emily Meyer,Cedar Rapids,LINN,Housing Developer,2016-05-01,2019-04-30,Female,Dem,A
"Great Places Advisory Board, Iowa",Greg Fisher,WEST DES MOINES,POLK,Business,2016-05-01,2019-04-30,Male,Rep,A
"Great Places Advisory Board, Iowa",Barbara Determan,Early,SAC,Community Leader Business,2016-05-01,2019-04-30,Female,Rep,A
Health Facilities Council,Robert Lundin,LE CLAIRE,SCOTT,Informed Citizen,2011-05-01,2017-04-30,Male,Rep,A
Health Facilities Council,Brenda Perrin,Cherokee,CHEROKEE,Informed Citizen,2016-09-15,2017-04-30,Female,Rep,A
Health Facilities Council,Connie Schmett,CLIVE,POLK,Informed Citizen,2013-05-01,2019-04-30,Female,Rep,A
Health Facilities Council,Roberta Chambers,CORYDON,WAYNE,Informed Citizen,2013-05-01,2019-04-30,Female,None,A
Health Facilities Council,Roger Thomas,Elkader,CLAYTON,Informed Citizen,2015-05-01,2021-04-30,Male,Dem,A
"Health, State Board of",Michell Ricker,Ellston,RINGGOLD,Public Health,2015-03-27,2017-06-30,Female,Rep,A
"Health, State Board of",Karen Woltman,SWISHER,JOHNSON,Public Member,2014-07-01,2017-06-30,Female,Dem,A
"Health, State Board of",Tonya Gray,MASON CITY,CERRO GORDO,Health- MD,2014-07-01,2017-06-30,Female,Rep,A
"Health, State Board of",Jay Hansen,Mason City,CERRO GORDO,Substance Abuse Treatment,2015-07-01,2018-06-30,Male,Dem,A
"Health, State Board of",Michael Kanellis,Iowa City,JOHNSON,Public Member,2015-08-06,2018-06-30,Male,Dem,A
"Health, State Board of",Vickie Lewis,Marshalltown,MARSHALL,Substance Abuse Prevention,2015-07-01,2018-06-30,Female,Dem,A
"Health, State Board of",Ted George,ROCKWELL CITY,CALHOUN,Public Health,2015-07-01,2018-06-30,Male,None,A
"Health, State Board of",Michael Wolnerman,Des Moines,POLK,Health - Pharmacist,2016-07-01,2019-06-30,Male,Rep,A
"Health, State Board of",Patti Brown,WAUKEE,DALLAS,Public Member,2016-07-01,2019-06-30,Female,Rep,A
"Health, State Board of",Ron Abrons,Coralville,JOHNSON,Health- MD,2016-07-01,2019-06-30,Male,None,A
"Health, State Board of",Maggie Tinsman,BETTENDORF,SCOTT,Public Member,2016-07-01,2019-06-30,Female,Rep,A
Healthy and Well Kids in Iowa (HAWK-I) Board,Vacant,,,Public Member,2010-05-01,2012-04-30,Female,Dem,V
Healthy and Well Kids in Iowa (HAWK-I) Board,Kelly Renfrow,Johnston,POLK,Public Member,2015-05-01,2017-04-30,Female,None,A
Healthy and Well Kids in Iowa (HAWK-I) Board,Eric Kohlsdorf,Des Moines,POLK,Public Member,2015-05-01,2017-04-30,Male,Rep,A
Healthy and Well Kids in Iowa (HAWK-I) Board,Jonathan Crosbie,Des Moines,POLK,Public Member,2016-09-15,2018-04-30,Male,None,A
"Hearing Aid Dispensers, Board of",Vacant,,,Public Member,2010-05-01,2013-04-30,Male,Dem,V
"Hearing Aid Dispensers, Board of",Catherine Dangelser,AMES,STORY,Licensed Hearing Aid Dispenser,2014-05-01,2017-04-30,Female,Rep,A
"Hearing Aid Dispensers, Board of",Jon McAvoy,ADEL,DALLAS,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Hearing Aid Dispensers, Board of",Dorothy Walters,NORWALK,WARREN,Licensed Hearing Aid Dispenser,2015-05-01,2018-04-30,Female,Rep,A
"Hearing Aid Dispensers, Board of",Gregory Moore,Ottumwa,WAPELLO,Licensed Hearing Aid Dispenser,2016-06-01,2019-04-30,Male,Dem,A
Higher Education Loan Authority,Gary Steinke,URBANDALE,POLK,,2011-05-01,2017-04-30,Male,Rep,A
Higher Education Loan Authority,Annette Shaw,POLK CITY,POLK,,2012-05-01,2018-04-30,Female,None,A
Higher Education Loan Authority,Marianne Mickelson,WEST DES MOINES,POLK,,2014-05-01,2020-04-30,Female,Rep,A
Higher Education Loan Authority,John Hartung,Indianola,WARREN,,2015-05-01,2021-04-30,Male,None,A
Higher Education Loan Authority,Edward Rogalski,Davenport,SCOTT,,2016-05-01,2022-04-30,Male,None,A
HIPIOWA Iowa Comprehensive Health Association,Joseph Teeling,WAUKEE,DALLAS,Public Member,2011-04-14,,Male,Rep,A
HIPIOWA Iowa Comprehensive Health Association,Joe Day,CEDAR RAPIDS,LINN,Public Member,2011-04-14,,Male,None,A
HIPIOWA Iowa Comprehensive Health Association,Debra Sears,DES MOINES,POLK,Public Member,2012-10-22,,Female,Rep,A
HIPIOWA Iowa Comprehensive Health Association,Ellen Corwin,DES MOINES,POLK,Public Member,2012-10-22,,Female,Dem,A
"Historical Records Advisory Board, State",Daniel Rittel,STUART,GUTHRIE,Public,2014-07-01,2017-06-30,Male,None,A
"Historical Records Advisory Board, State",Timothy Walch,IOWA CITY,JOHNSON,Trained Archivist,2014-07-01,2017-06-30,Male,Rep,A
"Historical Records Advisory Board, State",Larry Murphy,ANKENY,POLK,Public,2015-07-01,2018-06-30,Male,Rep,A
"Historical Records Advisory Board, State",Michael Gibson,DUBUQUE,DUBUQUE,Archivist,2015-07-01,2018-06-30,Male,Dem,A
"Historical Records Advisory Board, State",Shelley Bishop,Council Bluffs,POTTAWATTAMIE,Archivist,2015-07-01,2018-06-30,Female,Rep,A
"Historical Records Advisory Board, State",Daniel Daily,Orange City,SIOUX,Archivist,2016-07-01,2019-06-30,Male,None,A
"Historical Records Advisory Board, State",Amy Groskopf,DAVENPORT,SCOTT,Govt Records,2016-07-01,2019-06-30,Female,None,A
"Historical Records Advisory Board, State",Petrina Jackson,Ames,STORY,Archivist,2016-07-01,2019-06-30,Female,Dem,A
"Historical Records Advisory Board, State",Leisl Carr Childers,Cedar Falls,BLACK HAWK,Archivist,2016-07-01,2019-06-30,Female,Dem,A
"Historical Society of Iowa Board of Trustees, State",Vacant,,,College Educator,2007-07-01,2010-06-30,Male,Dem,V
"Historical Society of Iowa Board of Trustees, State",Vacant,,,At-large member,2008-07-01,2011-06-30,Male,None,V
"Historical Society of Iowa Board of Trustees, State",John Mickelson,West Des Moines,DALLAS,At-large member,2014-07-01,2017-06-30,Male,Rep,A
"Historical Society of Iowa Board of Trustees, State",John Brown,JOHNSTON,POLK,At-large member,2015-07-01,2018-06-30,Male,Rep,A
"Historical Society of Iowa Board of Trustees, State",Alyse Hunter,CHARITON,LUCAS,CD 2,2015-07-01,2018-06-30,Female,None,A
"Historical Society of Iowa Board of Trustees, State",Lynette Pohlman,Ames,STORY,CD 4,2015-07-01,2018-06-30,Female,None,A
"Historical Society of Iowa Board of Trustees, State",Candy Streed,Waterloo,BLACK HAWK,CD 1,2016-07-01,2019-06-30,Female,Dem,A
"Historical Society of Iowa Board of Trustees, State",William Jackson,Ankeny,POLK,CD 3,2016-07-01,2019-06-30,Male,Rep,A
"Historical Society of Iowa Board of Trustees, State",Alexander Hammer,Carlisle,WARREN,At-large member,2016-07-01,2019-06-30,Male,Dem,A
"Homelessness, Iowa Council on",Vacant,,,Formerly Homeless,2009-07-29,2011-06-30,,,V
"Homelessness, Iowa Council on",Vacant,,,Formerly Homeless,2010-07-01,2012-06-30,,,V
"Homelessness, Iowa Council on",Vacant,,,Iowa League of Cities,2010-07-01,2012-07-02,,,V
"Homelessness, Iowa Council on",Vacant,,,Formerly Homeless,2013-07-01,2015-06-30,,,V
"Homelessness, Iowa Council on",Ashley Schwalm ,DAVENPORT,SCOTT,Member,2015-07-01,2017-06-30,Female,None,A
"Homelessness, Iowa Council on",Ann Hearn,CEDAR RAPIDS,LINN,Member,2015-07-01,2017-06-30,Female,Dem,A
"Homelessness, Iowa Council on",Mariliegh Fisher,CEDAR FALLS,BLACK HAWK,Member,2015-07-01,2017-06-30,Female,Rep,A
